"Context","Answer","Empty"
"反発を＿、会社を辞めざるを得ない","買って",""
"息が＿そうた","つまり",""
"口を利＿はいけません","いて",""
"しばらく影をひそ＿が","めていた",""
"上に＿人間","立つ",""
"信頼し＿ような仲間","合える",""
"結婚式＿はふさわしくないと言われた","に",""
"したこと＿交通事故＿つながる","が　に",""
"意見＿反映させることによって、技術＿生み出される＿た","を　が　の",""
"上司＿とって大事なことは、意見＿受け入れる","に　を",""
"ちち＿亡くしてから、兄弟＿一人前に育ててくれた","を　を",""
"風景が失＿＿つつある","われ",""
"昔から日本は男性が強い社会だと言＿てきた","われ",""
"あいさつを交＿ことから一日が始まる","わす",""
"身分制度が廃止＿のは","される",""
"部下に厳しい上司は歓迎＿ないらしい","され",""
"＿取り立てる","を",""
"＿影を潜める","が",""
"＿ふさわしい","に",""
"＿扱う","を",""
"＿廃止する","を",""
"＿つながる","が",""
"＿確認する","を",""
"＿存在する","が",""
"＿失う","を",""
"＿生み出す","を",""
"＿歓迎する","を",""
"＿交わす","を",""
"＿築く","を",""
"＿受け入れる","を",""
"＿育てる","を",""
"服が汚＿なら","れた",""
"ボタン＿押す","を",""
"＿付き合う","と",""
"能力＿あげる＿はいっぱい勉強しなければならない","を　に",""
"レーダーシップが＿ので","ある",""
"人にあまりいい印象を与＿と思います","えない",""
"思ってことを口に＿、人を嫌な気持ちにされた","して",""
"携帯電話は高いと思われているが、意外に＿だ","安い",""
"一見＿人のようです","別の",""
"ことわざ＿こっていて、いろいろことを聞いてくる","に",""
"5回＿分けて返すことにした","に",""
"何事＿も厳しい兄＿は対照的に弟は楽天的な性格だ","に　と",""
"仲間＿付き合うって","と",""
"＿重んじる","を",""
"自分では大人だと思っていたが父に言＿と、まだ子供なのだそうだ","わせる",""
"人を判断＿とする","しょう",""
"始めた会＿人には","った",""
"友達がいなくなったことがなかなか受け入＿","れられない",""
"山の向＿に行った","こう",""
"おもしろ＿た","かっ",""
"選ぶ＿は","の",""
"人＿物＿与える","に　を",""
"＿参考にする","を",""
"＿反論する","に",""
"＿口にする","を",""
"＿こる","に",""
"＿分ける","に",""
"動詞は３つのグループ＿分＿＿","に　けられる",""
"必ずクラスの人＿行動してください","と",""
"子供＿悪い影響＿あたえる","に　を",""
"花作り＿こっている","に",""
"関係が重ん＿ている","じられ",""
"声が＿が、行って見たら","した",""
"草に水を＿のが、","やる",""
"火を＿、美味しそうにおい","つけて",""
"一種間かけてレポートを書＿、先生に出す","き切って",""
"明るさ＿残す空＿、花火が打ち上げられた","を　に",""
"父の言葉＿意外だったので、姉＿顔を見合わせた","が　と",""
"これ＿終わらせれば、ようやく仕事＿解放される","を　から",""
"山に＿も行って、私＿外＿連れ出した","で　を　へ",""
"母＿お菓子＿ねだる","に　を",""
"多くの人を驚＿","かせた",""
"母に料理の手伝を＿ものだ","させられた",""
"さっきまで疲＿切った","れ",""
"妻にじっと見つめ＿と","られる",""
"友達から公園に呼び出＿","された",""
"様々＿新しいこと","な",""
"旅行している＿じゃない","の/ん",""
"＿思い出す","を",""
"＿連想する","を",""
"＿帰宅する","から",""
"人＿場所＿呼び出す","を　に",""
"こんな風＿庭仕事＿指示する","に　を",""
"＿解放する","を",""
"＿顔＿見合わせる","と　を",""
"私たち＿庭＿連れ出す","を　へ",""
"腰＿下ろす","を",""
"＿得る","を",""
"だれ＿ビール＿生き返る","が　で",""
"歯＿抜いた","を",""
"洗濯物＿よく乾いた","が",""
"目的＿忘れない","を",""
"身分＿見つめる","を",""
"死んだ人＿生き返るなんで言う話","が",""
"町＿眺めると","を",""
"暑さ＿めまいがした","一瞬",""
"長い川が＿流れる","ゆったりと",""
"散歩＿、桜を見に行った","がでら",""
"２００年＿前だ","余り",""
"書こうと思い＿、つい書けずにいる","つつ",""
"血＿","まみれ",""
"父は＿のいい時","機嫌",""
"兄弟で＿した","競争（きょうそう）",""
"Aですか＿Bですか","それとも",""
"A＿B","あるいは",""
"言うことは当てに＿＿ない","なら　（not reliable)",""
"命を＿兄を思い出す","落とした",""
"あの子が泣いたら、とても手に＿＿","おえない",""
"山の雲も＿＿、暖かくなる","溶けて",""
"＿が進歩した","ぎじつ",""
"便利＿ので","な",""
"指示＿従って (したがう）","に　abide by indicators",""
"作るの＿醤油＿欠かせない","に　が",""
"服＿汚した子供＿「もう、また」と言った","を　に",""
"病気＿早く良くなるようにと、母は神＿祈る","が　に",""
"気象＿続いているが、自然＿の調和を大切にしていくべきだろう","が　と",""
"雨を＿","降らせた",""
"命が＿　（うしなう）","命が失われた （他）lose",""
"もう一度よく＿見なさい","考えて",""
"利用＿ば","すれ",""
"命を＿　（うばう）","奪った　（他）steal",""
"_収穫する","を",""
"＿予測する","を",""
"N＿欠かせない","に",""
"＿収穫する","を",""
"＿観察する","を",""
"＿調和する","と",""
"＿溶ける","が",""
"＿言い伝える","を",""
"＿当てになる","が",""
"＿祈る","を",""
"＿観測する","を",""
"＿進歩する","が",""
"N＿引き起こす","を",""
"＿奪う（うばう）","を",""
"＿汚す","を",""
"N＿手に負えない　（おえない）","に",""
"＿慌てる（あわてる）","が",""
"＿従う（したがう）","が",""
"＿見直す","を",""
"＿携帯する","を",""
"＿当てにする","を",""
"気持ち＿分かる","が",""
"心＿見えない","が",""
"考え方＿伝える","を",""
"＿伝わる","が",""
"意味＿理解しにくい","が",""
"難しいかもし＿ない","れ",""
"＿広げって","を",""
"＿広がって","が",""
"大学と＿のレバルだ","同じくらい",""
"仕事＿後で","の",""
"関係が＿＿＿","欲しい",""
"私＿考えてでは","の",""
"容疑者＿精神病＿引き起こした","が　を",""
